2023-04-19 03:27:47, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, php_network_getaddresses: getaddrinfo for articles-website-db.cdwuisquc4or.us-east-1.rds.amazonaws.coms failed: No such host is known. , C:\xampp\htdocs\Articles-Website\models\MySQLHandler.php, 42
2023-04-19 04:03:54, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, SQLSTATE[42S22]: Column not found: 1054 Unknown column 'id' in 'where clause', C:\xampp\htdocs\Articles-Website\models\MySQLHandler.php, 309
2023-04-19 16:08:03, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, php_network_getaddresses: getaddrinfo for articles-website-db.cdwuisquc4or.us-east-1.rds.amazonaws.com failed: No such host is known. , D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-19 16:28:34, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, php_network_getaddresses: getaddrinfo for articles-website-db.cdwuisquc4or.us-east-1.rds.amazonaws.com failed: No such host is known. , D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-19 16:37:37, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, php_network_getaddresses: getaddrinfo for articles-website-db.cdwuisquc4or.us-east-1.rds.amazonaws.com failed: No such host is known. , D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-19 16:37:51, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, php_network_getaddresses: getaddrinfo for articles-website-db.cdwuisquc4or.us-east-1.rds.amazonaws.com failed: No such host is known. , D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-20 03:11:03, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, Too many connections, D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-20 03:11:35, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, Too many connections, D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-20 03:12:31, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, Too many connections, D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-20 03:13:40, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, Too many connections, D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
2023-04-20 03:13:40, ::1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48, Too many connections, D:\xampp\htdocs\ITI-PHP-Project\Articles-Website\models\MySQLHandler.php, 42
